date,home,xg_home,goals_home,xg_away,goals_away,away,pred_outcome,actual_outcome,correct,mae_home,mae_away,brier
Jun 11,Mexico,2.1,2,0.51,0,South Africa,H,H,True,0.099,0.514,1.0373
Jun 11,South Korea,1.71,2,1.08,1,Czechia,H,H,True,0.292,0.079,1.1148
Jun 12,Canada,1.31,1,0.48,1,Bosnia and Herzegovina,H,D,False,0.308,0.521,1.3483
Jun 12,United States,0.84,4,2.03,1,Paraguay,A,H,False,3.161,1.03,1.465
Jun 13,Qatar,0.44,1,3.67,1,Switzerland,A,D,False,0.558,2.666,1.8493
Jun 13,Brazil,1.22,1,1.0,1,Morocco,D,D,True,0.215,0.003,1.2594
Jun 13,Haiti,0.99,0,2.19,1,Scotland,A,A,True,0.986,1.185,1.0631
Jun 13,Australia,1.18,2,1.06,0,Türkiye,D,H,False,0.823,1.059,1.1895
Jun 14,Ivory Coast,0.47,1,1.09,0,Ecuador,A,H,False,0.535,1.09,1.3714
Jun 14,Germany,3.4,7,0.5,1,Curaçao,H,H,True,3.6,0.497,1.006
Jun 14,Netherlands,0.72,2,1.3,2,Japan,D,D,True,1.276,0.702,1.2958
Jun 15,Spain,3.63,0,0.5,0,Cape Verde,H,D,False,3.632,0.5,1.8329
Jun 15,Belgium,1.15,1,0.66,1,Egypt,D,D,True,0.145,0.339,1.2692
Jun 15,Saudi Arabia,0.43,1,1.18,1,Uruguay,A,D,False,0.574,0.184,1.3232
Jun 15,Iran,1.6,2,0.74,2,New Zealand,H,D,False,0.403,1.258,1.3641
Jun 16,France,1.55,3,1.16,1,Senegal,H,H,True,1.451,0.155,1.1441
Jun 16,Iraq,1.79,1,0.63,4, Norway,H,A,False,0.793,3.37,1.4768
